item_id,item_name,item_amount,currency_id,currency_amount
811,"Zho's Gloves",-1,,
23212,"Shaman's Ring",-1,,
19748,"Silk Scrap",27,,
19700,"Mithril Ore",11,,
19722,"Elder Wood Log",12,,
19729,"Thick Leather Section",9,,
45150,"Errol's Gloves",-2,,
2697,"Ogden's Mantle",-1,,
19721,"Glob of Ectoplasm",37,,
19986,"Black Lion Salvage Kit",-29,,
23182,"Berserker's Amulet",-1,,
46681,"Glob of Dark Matter",35,,
24560,"Superior Sigil of Earth",1,,
26860,"Adder's Hiss",-1,,
587,"Ogden's Boots",-1,,
24714,"Superior Rune of Strength",4,,
2542,"Carrion Seer Pants of Divinity",-1,,
24732,"Superior Rune of Divinity",1,,
115,"Reyna's Mask",-1,,
24771,"Superior Rune of Melandru",1,,
24723,"Superior Rune of the Eagle",3,,
49522,"Dire Intricate Gossamer Insignia",2,,
23197,"Carrion Amulet",-1,,
2391,"Ogden's Mask",-1,,
1026,"Devona's Chestguard",-1,,
2046,"Norgu's Gloves",-1,,
24765,"Superior Rune of Balthazar",1,,
24571,"Superior Sigil of Purity",1,,
26552,"Shield of the Moon",-1,,
100346,"Rift Hunter Light Gloves",-1,,
24578,"Superior Sigil of Corruption",1,,
47095,"Delusion",-1,,
131,"Khilbron's Coat",-1,,
24688,"Superior Rune of the Lich",1,,
46710,"Rabid Intricate Gossamer Insignia",1,,
24554,"Superior Sigil of Air",1,,
28430,"Peasant's Solution",-1,,
24612,"Superior Sigil of Agony",1,,
26853,"Rampager's Soft Wood Warhorn of Agony",-1,,
24648,"Superior Sigil of Grawl Slaying",1,,
27010,"Rampager's Soft Wood Focus of Grawl Slaying",-1,,
24696,"Superior Rune of the Flock",1,,
82,"Berserker's Seer Coat of the Afflicted",-1,,
24687,"Superior Rune of the Afflicted",2,,
24655,"Superior Sigil of Ogre Slaying",1,,
27964,"Rampager's Iron Rifle of Ogre Slaying",-1,,
105974,"Alliance Field Operative's Light Helmet",-1,,
24572,"Superior Sigil of Nullification",1,,
26557,"Grimward",-1,,
24630,"Superior Sigil of Chilling",1,,
27963,"Spectral Wave Modulator",-1,,
1861,"Carrion Scallywag Legs of the Eagle",-1,,
834,"Sheena's Greaves",-1,,
2538,"Berserker's Seer Pants of the Traveler",-1,,
24691,"Superior Rune of the Traveler",1,,
