item_id,item_name,item_amount,currency_id,currency_amount
19721,"Glob of Ectoplasm",42,45,1000
19722,"Elder Wood Log",8,,
19700,"Mithril Ore",22,,
19986,"Black Lion Salvage Kit",-30,,
24561,"Superior Sigil of Rage",1,,
27338,"Dhuumseal",-1,,
46681,"Glob of Dark Matter",26,,
1868,"Jalis' Legplates",-1,,
24699,"Superior Rune of the Dolyak",2,,
91,"Carrion Seer Coat of the Afflicted",-1,,
19748,"Silk Scrap",15,,
24687,"Superior Rune of the Afflicted",2,,
24594,"Superior Sigil of Restoration",1,,
27482,"Memory of the Sky",-1,,
128,"Berserker's Seer Coat of Rata Sum",-1,,
24726,"Superior Rune of Rata Sum",1,,
886,"Rurik's Greaves",-1,,
24711,"Superior Rune of Vampirism",1,,
24592,"Superior Sigil of Stamina",2,,
27948,"Vera",-1,,
46684,"Shaman's Orichalcum Imbued Inscription",2,,
23191,"Shaman's Amulet",-1,,
19725,"Ancient Wood Log",1,,
24599,"Superior Sigil of Leeching",3,,
26395,"Anura",-1,,
26221,"Ak-Muhl's Jaw",-1,,
24630,"Superior Sigil of Chilling",2,,
27478,"Bramblethorne",-1,,
46686,"Rabid Orichalcum Imbued Inscription",1,,
2397,"Tahlkora's Mask",-1,,
24708,"Superior Rune of Mercy",1,,
46708,"Shaman's Intricate Gossamer Insignia",1,,
28104,"Berserker's Steam Speargun of Leeching",-1,,
24691,"Superior Rune of the Traveler",1,,
45140,"Yakkington's Legplates",-1,,
49522,"Dire Intricate Gossamer Insignia",1,,
659,"Shiro's Pauldrons",-2,,
19732,"Hardened Leather Section",1,,
24717,"Superior Rune of Rage",2,,
1637,"Devona's Helm",-1,,
24714,"Superior Rune of Strength",1,,
24632,"Superior Sigil of Venom",1,,
26406,"Rampager's Soft Wood Scepter of Venom",-1,,
23182,"Berserker's Amulet",-1,,
24597,"Superior Sigil of Hydromancy",1,,
27634,"The Punisher",-1,,
19729,"Thick Leather Section",3,,
27963,"Spectral Wave Modulator",-1,,
2394,"Norgu's Mask",-1,,
24765,"Superior Rune of Balthazar",1,,
1342,"Sheena's Gauntlets",-1,,
24555,"Superior Sigil of Ice",1,,
28272,"Eir's Longbow",-1,,
19701,"Orichalcum Ore",1,,
47092,"Rivetwall",-1,,
1355,"Jalis' Gauntlets",-1,,
24601,"Superior Sigil of Battle",1,,
27328,"Ebonblade",-1,,
87071,"Inquest Apparatus",-1,,
100294,"Rift Hunter Light Boots",-1,,
24612,"Superior Sigil of Agony",1,,
25988,"Droknar's Forgehammer",-1,,
