item_id,item_name,item_amount,currency_id,currency_amount
45149,"Errol's Coat",-1,,
19729,"Thick Leather Section",2,,
19722,"Elder Wood Log",5,,
19748,"Silk Scrap",7,,
19721,"Glob of Ectoplasm",9,,
47089,"Scorchrazor's Fist",-1,,
28112,"Drakestrike",-1,,
19986,"Black Lion Salvage Kit",-6,,
24599,"Superior Sigil of Leeching",2,,
46681,"Glob of Dark Matter",7,,
46690,"Dire Orichalcum Imbued Inscription",1,,
46686,"Rabid Orichalcum Imbued Inscription",1,,
24723,"Superior Rune of the Eagle",1,,
24600,"Superior Sigil of Vision",1,,
27184,"Beacon of the True Legions",-1,,
82,"Berserker's Seer Coat of the Afflicted",-1,,
24687,"Superior Rune of the Afflicted",1,,
2543,"Ogden's Leggings",-1,,
24714,"Superior Rune of Strength",1,,
