item_id,item_name,item_amount,currency_id,currency_amount
19700,"Mithril Ore",14,1,-1560
19729,"Thick Leather Section",8,,
19721,"Glob of Ectoplasm",22,,
19722,"Elder Wood Log",12,,
89140,"Lucent Mote",43,,
19748,"Silk Scrap",12,,
19725,"Ancient Wood Log",1,,
45105,"Dire Conjurer Chest of Rata Sum",-1,,
27934,"Cleric's Iron Hammer of Leeching",-1,,
27146,"Cleric's Soft Wood Warhorn of the Geomancer",-1,,
26681,"Cleric's Soft Wood Scepter of Agony",-1,,
1147,"Cleric's Rogue Pauldrons of the Eagle",-1,,
25923,"Berserker's Iron Axe of Smoldering",-1,,
26843,"Rampager's Iron Shield of Ogre Slaying",-1,,
28408,"Berserker's Steam Speargun of Water",-1,,
2679,"Rampager's Conjurer Pants of Infiltration",-2,,
2346,"Carrion Banded Pauldrons of the Citadel",-1,,
45086,"Dire Banded Coat of Strength",-1,,
26989,"Rampager's Iron Pistol of Peril",-1,,
739,"Shaman's Banded Greaves of Mercy",-1,,
698,"Carrion Banded Greaves of the Flame Legion",-1,,
26515,"Rampager's Iron Sword of Hobbling",-1,,
28411,"Rampager's Steam Speargun of Battle",-1,,
45122,"Dire Rogue Coat of the Lich",-1,,
83499,"Elonian Standard",-1,,
82483,"Elonian Smasher",-1,,
45092,"Dire Banded Helm of Scavenging",-1,,
26839,"Berserker's Iron Shield of Bloodlust",-1,,
538,"Cleric's Conjurer Chest of the Traveler",-1,,
602,"Shaman's Marauder Mask of Hoelbrak",-1,,
45120,"Dire Privateer Boots of Dwayna",-1,,
2005,"Cleric's Rogue Gloves of the Pack",-1,,
