item_id,item_name,item_amount,currency_id,currency_amount
597,"Shaman's Marauder Mask of Scavenging",-1,1,-1920
2115,"Cleric's Banded Legs of Hoelbrak",-2,,
1999,"Rampager's Rogue Gloves of the Afflicted",-1,,
23174,"Berserker's Amulet",-1,,
28553,"Berserker's Soft Wood Longbow of Perception",-1,,
26837,"Berserker's Iron Shield of Corruption",-1,,
19748,"Silk Scrap",2,,
89140,"Lucent Mote",42,,
19700,"Mithril Ore",23,,
19722,"Elder Wood Log",14,,
19729,"Thick Leather Section",12,,
26826,"Rampager's Iron Shield of Water",-1,,
586,"Rampager's Marauder Mask of Balthazar",-1,,
27131,"Berserker's Soft Wood Warhorn of the Geomancer",-1,,
1822,"Rampager's Rogue Coat of Grenth",-1,,
45134,"Dire Rogue Pauldrons of Infiltration",-1,,
28237,"Berserker's Iron Rifle of Venom",-1,,
26114,"Berserker's Iron Mace of Battle",-1,,
698,"Carrion Banded Greaves of the Flame Legion",-1,,
28224,"Rampager's Iron Rifle of Corruption",-1,,
2113,"Cleric's Banded Legs of Mercy",-1,,
1826,"Berserker's Banded Helm of Infiltration",-1,,
28233,"Cleric's Iron Rifle of the Geomancer",-2,,
25943,"Berserker's Iron Axe of Bloodlust",-1,,
26509,"Berserker's Iron Sword of the Hydromancer",-1,,
2096,"Carrion Banded Legs of Mercy",-1,,
26672,"Berserker's Soft Wood Scepter of Earth",-1,,
983,"Rampager's Conjurer Shoes of Dwayna",-1,,
26118,"Rampager's Iron Mace of Air",-1,,
82680,"Elonian Warsickle",-1,,
89182,"Symbol of Pain",1,,
28558,"Rampager's Soft Wood Longbow of Perception",-1,,
27285,"Rampager's Soft Wood Focus of Venom",-1,,
26664,"Cleric's Soft Wood Scepter of Force",-1,,
27608,"Berserker's Iron Greatsword of Life",-1,,
26522,"Cleric's Iron Sword of Peril",-1,,
19721,"Glob of Ectoplasm",29,,
