item_id,item_name,item_amount,currency_id,currency_amount
84731,"Piece of Unidentified Gear",-625,1,-17940
45175,"Fine Essence of Luck",693,,
45177,"Rare Essence of Luck",7,,
19700,"Mithril Ore",258,,
19701,"Orichalcum Ore",31,,
19729,"Thick Leather Section",195,,
19722,"Elder Wood Log",231,,
89140,"Lucent Mote",582,,
19748,"Silk Scrap",223,,
45176,"Masterwork Essence of Luck",189,,
19732,"Hardened Leather Section",8,,
19725,"Ancient Wood Log",17,,
74356,"Reclaimed Metal Plate",1,,
45178,"Exotic Essence of Luck",8,,
89103,"Charm of Brilliance",2,,
89141,"Symbol of Enhancement",3,,
89182,"Symbol of Pain",2,,
19745,"Gossamer Scrap",6,,
89098,"Symbol of Control",4,,
45105,"Dire Conjurer Chest of Rata Sum",1,,
27934,"Cleric's Iron Hammer of Leeching",1,,
27146,"Cleric's Soft Wood Warhorn of the Geomancer",1,,
26681,"Cleric's Soft Wood Scepter of Agony",1,,
1147,"Cleric's Rogue Pauldrons of the Eagle",1,,
25923,"Berserker's Iron Axe of Smoldering",1,,
26843,"Rampager's Iron Shield of Ogre Slaying",1,,
28408,"Berserker's Steam Speargun of Water",1,,
2679,"Rampager's Conjurer Pants of Infiltration",2,,
2346,"Carrion Banded Pauldrons of the Citadel",1,,
45086,"Dire Banded Coat of Strength",1,,
26989,"Rampager's Iron Pistol of Peril",1,,
739,"Shaman's Banded Greaves of Mercy",1,,
698,"Carrion Banded Greaves of the Flame Legion",1,,
26515,"Rampager's Iron Sword of Hobbling",1,,
28411,"Rampager's Steam Speargun of Battle",1,,
45122,"Dire Rogue Coat of the Lich",1,,
83499,"Elonian Standard",1,,
82483,"Elonian Smasher",1,,
45092,"Dire Banded Helm of Scavenging",1,,
26839,"Berserker's Iron Shield of Bloodlust",1,,
866,"Jalis' Greaves",1,,
538,"Cleric's Conjurer Chest of the Traveler",1,,
602,"Shaman's Marauder Mask of Hoelbrak",1,,
45120,"Dire Privateer Boots of Dwayna",1,,
2005,"Cleric's Rogue Gloves of the Pack",1,,
