item_id,item_name,item_amount,currency_id,currency_amount
19748,"Silk Scrap",34,1,-4860
19700,"Mithril Ore",46,,
19729,"Thick Leather Section",12,,
19722,"Elder Wood Log",24,,
89140,"Lucent Mote",112,,
19732,"Hardened Leather Section",1,,
19721,"Glob of Ectoplasm",72,,
19725,"Ancient Wood Log",4,,
19701,"Orichalcum Ore",6,,
19745,"Gossamer Scrap",1,,
27923,"Berserker's Iron Hammer of Battle",-1,,
26376,"Cleric's Iron Dagger of Bloodlust",-1,,
27622,"Cleric's Iron Greatsword of Debility",-1,,
2835,"Cleric's Conjurer Mantle of the Lich",-1,,
26370,"Berserker's Iron Dagger of Bloodlust",-1,,
28237,"Berserker's Iron Rifle of Venom",-1,,
89141,"Symbol of Enhancement",2,,
28565,"Cleric's Soft Wood Longbow of Smoldering",-1,,
2377,"Shaman's Conjurer Gloves of the Eagle",-1,,
2355,"Rampager's Banded Pauldrons of the Flame Legion",-3,,
1295,"Rampager's Banded Coat of Lyssa",-1,,
2363,"Cleric's Banded Pauldrons of the Traveler",-1,,
26521,"Cleric's Iron Sword of Accuracy",-1,,
23176,"Rampager's Amulet",-1,,
2526,"Shaman's Conjurer Mask of the Flame Legion",-2,,
45129,"Dire Marauder Mask of the Afflicted",-1,,
28729,"Cleric's Black Earth Trident of Hobbling",-1,,
28784,"Rampager's Iron Spear of Peril",-1,,
27597,"Rampager's Iron Greatsword of Grawl Slaying",-2,,
45090,"Dire Banded Gauntlets of the Flock",-1,,
27311,"Cleric's Soft Wood Focus of Smoldering",-1,,
992,"Shaman's Conjurer Shoes of Divinity",-1,,
27305,"Rampager's Soft Wood Focus of Force",-1,,
1127,"Rampager's Rogue Pauldrons of Grenth",-1,,
25923,"Berserker's Iron Axe of Smoldering",-1,,
1982,"Berserker's Rogue Gloves of Grenth",-1,,
2096,"Carrion Banded Legs of Mercy",-1,,
28787,"Cleric's Iron Spear of Chilling",-1,,
27152,"Berserker's Soft Wood Warhorn of Agony",-1,,
2103,"Rampager's Banded Legs of the Afflicted",-1,,
26681,"Cleric's Soft Wood Scepter of Agony",-1,,
2358,"Shaman's Banded Pauldrons of Dwayna",-1,,
2365,"Cleric's Banded Pauldrons of Infiltration",-1,,
27780,"Berserker's Soft Wood Staff of Restoration",-1,,
27157,"Rampager's Soft Wood Warhorn of Debility",-1,,
27159,"Cleric's Soft Wood Warhorn of Blood",-1,,
23172,"Rampager's Amulet",-1,,
28716,"Cleric's Black Earth Trident of Bloodlust",-1,,
26991,"Rampager's Iron Pistol of the Geomancer",-1,,
26826,"Rampager's Iron Shield of Water",-2,,
45114,"Dire Conjurer Pants of Rage",-1,,
28075,"Berserker's Soft Wood Short Bow of Peril",-1,,
45117,"Dire Conjurer Mantle of Hoelbrak",-2,,
45093,"Dire Banded Helm of Grenth",-1,,
45099,"Dire Banded Pauldrons of the Dolyak",-1,,
28797,"Cleric's Iron Spear of Peril",-1,,
26366,"Cleric's Iron Dagger of Agony",-1,,
26989,"Rampager's Iron Pistol of Peril",-1,,
1841,"Rampager's Banded Helm of Scavenging",-1,,
45084,"Dire Banded Greaves of the Afflicted",-1,,
45095,"Dire Banded Legs of Balthazar",-1,,
529,"Shaman's Conjurer Chest of Divinity",-1,,
28415,"Cleric's Steam Speargun of Water",-1,,
26122,"Cleric's Iron Mace of Chilling",-1,,
999,"Cleric's Conjurer Shoes of the Centaur",-1,,
84030,"Elonian Horn",-1,,
1626,"Cleric's Banded Gauntlets of Mercy",-1,,
490,"Berserker's Conjurer Chest of Strength",-1,,
745,"Shaman's Banded Greaves of the Eagle",-1,,
28238,"Berserker's Iron Rifle of Life",-1,,
45107,"Dire Conjurer Gloves of Grenth",-1,,
28089,"Cleric's Soft Wood Short Bow of Chilling",-1,,
26372,"Rampager's Iron Dagger of Grawl Slaying",-1,,
1825,"Shaman's Rogue Coat of Hoelbrak",-1,,
84082,"Elonian Greatblade",-1,,
28794,"Rampager's Iron Spear of Corruption",-1,,
45101,"Dire Conjurer Shoes of the Lich",-1,,
698,"Carrion Banded Greaves of the Flame Legion",-1,,
45122,"Dire Rogue Coat of the Lich",-1,,
2107,"Shaman's Banded Legs of Divinity",-1,,
1820,"Rampager's Rogue Coat of Strength",-1,,
972,"Carrion Conjurer Shoes of the Traveler",-1,,
2529,"Cleric's Conjurer Mask of Rage",-1,,
2104,"Rampager's Banded Legs of the Dolyak",-1,,
27446,"Berserker's Soft Wood Torch of Restoration",-1,,
1848,"Cleric's Banded Helm of the Lich",-1,,
